Date,Close
1/2/2018 16:00:00,74.1
1/3/2018 16:00:00,74.66
1/4/2018 16:00:00,73.9
1/5/2018 16:00:00,74.52
1/8/2018 16:00:00,74.4
1/9/2018 16:00:00,78.1
1/10/2018 16:00:00,78.71
1/11/2018 16:00:00,79.06
1/12/2018 16:00:00,79.02
1/16/2018 16:00:00,80.25
1/17/2018 16:00:00,81.74
1/18/2018 16:00:00,81.17
1/19/2018 16:00:00,80.98
1/22/2018 16:00:00,81.41
1/23/2018 16:00:00,80.95
1/24/2018 16:00:00,81.3
1/25/2018 16:00:00,81.19
1/26/2018 16:00:00,85.46
1/29/2018 16:00:00,88.8
1/30/2018 16:00:00,87.29
1/31/2018 16:00:00,83.8
2/1/2018 16:00:00,83.49
2/2/2018 16:00:00,81.73
2/5/2018 16:00:00,78.37
2/6/2018 16:00:00,80.38
2/7/2018 16:00:00,82.76
2/8/2018 16:00:00,78.22
2/9/2018 16:00:00,79.32
2/12/2018 16:00:00,80.14
2/13/2018 16:00:00,80.79
2/14/2018 16:00:00,81.82
2/15/2018 16:00:00,81.55
2/16/2018 16:00:00,80.7
2/20/2018 16:00:00,80.94
2/21/2018 16:00:00,80.69
2/22/2018 16:00:00,79.4
2/23/2018 16:00:00,80.91
2/26/2018 16:00:00,81.79
2/27/2018 16:00:00,80.36
2/28/2018 16:00:00,78.73
3/1/2018 16:00:00,77.53
3/2/2018 16:00:00,78.69
3/5/2018 16:00:00,77.92
3/6/2018 16:00:00,79.32
3/7/2018 16:00:00,79.99
3/8/2018 16:00:00,80.07
3/9/2018 16:00:00,80.72
3/12/2018 16:00:00,81.06
3/13/2018 16:00:00,81.72
3/14/2018 16:00:00,81.1
3/15/2018 16:00:00,79.51
3/16/2018 16:00:00,79.74
3/19/2018 16:00:00,77.18
3/20/2018 16:00:00,76.92
3/21/2018 16:00:00,76.49
3/22/2018 16:00:00,75.57
3/23/2018 16:00:00,72.84
3/26/2018 16:00:00,75.54
3/27/2018 16:00:00,74.11
3/28/2018 16:00:00,74.78
3/29/2018 16:00:00,75.39
4/2/2018 16:00:00,73.14
4/3/2018 16:00:00,73.75
4/4/2018 16:00:00,75.4
4/5/2018 16:00:00,74.82
4/6/2018 16:00:00,73.41
4/9/2018 16:00:00,73.8
4/10/2018 16:00:00,75.02
4/11/2018 16:00:00,74.33
4/12/2018 16:00:00,75.29
4/13/2018 16:00:00,75.22
4/16/2018 16:00:00,74.69
4/17/2018 16:00:00,75.47
4/18/2018 16:00:00,75.68
4/19/2018 16:00:00,74.44
4/20/2018 16:00:00,73.7
4/23/2018 16:00:00,74.01
4/24/2018 16:00:00,72.72
4/25/2018 16:00:00,73.25
4/26/2018 16:00:00,73.9
4/27/2018 16:00:00,73.86
4/30/2018 16:00:00,72.23
5/1/2018 16:00:00,72.56
5/2/2018 16:00:00,66.88
5/3/2018 16:00:00,65.19
5/4/2018 16:00:00,65.42
5/7/2018 16:00:00,64.88
5/8/2018 16:00:00,65.22
5/9/2018 16:00:00,65.69
5/10/2018 16:00:00,65.37
5/11/2018 16:00:00,66.16
5/14/2018 16:00:00,67.05
5/15/2018 16:00:00,66.99
5/16/2018 16:00:00,67.55
5/17/2018 16:00:00,67.6
5/18/2018 16:00:00,68.02
5/21/2018 16:00:00,67.63
5/22/2018 16:00:00,67.83
5/23/2018 16:00:00,68.17
5/24/2018 16:00:00,67.53
5/25/2018 16:00:00,67.38
5/29/2018 16:00:00,67.33
5/30/2018 16:00:00,67.69
5/31/2018 16:00:00,67.4
6/1/2018 16:00:00,68.3
6/4/2018 16:00:00,70.21
6/5/2018 16:00:00,70.06
6/6/2018 16:00:00,71.97
6/7/2018 16:00:00,71.9
6/8/2018 16:00:00,71.91
6/11/2018 16:00:00,71.83
6/12/2018 16:00:00,71.68
6/13/2018 16:00:00,71.29
6/14/2018 16:00:00,71.15
6/15/2018 16:00:00,70.23
6/18/2018 16:00:00,69.06
6/19/2018 16:00:00,70.94
6/20/2018 16:00:00,71.46
6/21/2018 16:00:00,71.52
6/22/2018 16:00:00,71.07
6/25/2018 16:00:00,71.14
6/26/2018 16:00:00,70.25
6/27/2018 16:00:00,68.64
6/28/2018 16:00:00,70.33
6/29/2018 16:00:00,70.84
7/2/2018 16:00:00,71.28
7/3/2018 13:00:00,71.33
7/5/2018 16:00:00,72.81
7/6/2018 16:00:00,75.21
7/9/2018 16:00:00,76.64
7/10/2018 16:00:00,76.75
7/11/2018 16:00:00,76.02
7/12/2018 16:00:00,77.6
7/13/2018 16:00:00,77.38
7/16/2018 16:00:00,77.26
7/17/2018 16:00:00,77.2
7/18/2018 16:00:00,77.12
7/19/2018 16:00:00,77.05
7/20/2018 16:00:00,77.37
7/23/2018 16:00:00,77.38
7/24/2018 16:00:00,77.65
7/25/2018 16:00:00,78.92
7/26/2018 16:00:00,78.16
7/27/2018 16:00:00,76.81
